id,entity_type,entity_id,action,old_values,new_values,ip_address,user_agent,created_at,performed_by
37,User,3,LOGIN,,,172.17.0.38,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,2025-07-04 02:39:45,3
38,User,3,LOGOUT,,,192.0.2.39,"Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Safari/605.1.15",2025-07-04 04:52:45,3
39,User,3,LOGIN,,,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",2025-10-26 05:46:36,3
40,User,3,LOGIN,,,192.168.1.50,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",2024-04-10 04:20:28,3
41,User,3,LOGOUT,,,10.0.0.42,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",2024-04-10 06:15:28,3
42,User,3,LOGIN,,,172.16.0.43,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",2025-02-05 17:21:36,3
43,User,3,LOGOUT,,,203.0.113.44,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,2025-02-05 20:15:36,3
44,User,3,LOGIN,,,198.51.100.45,"Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Safari/605.1.15",2025-03-17 08:22:10,3
45,User,4,LOGIN,,,192.168.0.46,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",2024-06-08 22:49:34,4
46,User,4,LOGIN,,,10.1.1.47,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",2024-10-03 05:15:32,4
47,User,4,LOGOUT,,,172.17.0.48,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",2024-10-03 08:05:32,4
48,User,4,LOGIN,,,192.0.2.49,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",2024-11-19 15:39:08,4
49,User,4,LOGIN,,,127.0.0.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,2025-09-06 16:40:04,4
50,User,4,LOGOUT,,,192.168.1.60,"Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Safari/605.1.15",2025-09-06 18:57:04,4
51,User,4,LOGIN,,,10.0.0.52,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",2025-09-13 13:37:05,4
52,User,4,LOGOUT,,,172.16.0.53,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",2025-09-13 15:03:05,4
53,User,4,LOGIN,,,203.0.113.54,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",2025-07-14 04:48:59,4
54,User,4,LOGOUT,,,198.51.100.55,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",2025-07-14 06:57:59,4
55,User,4,LOGIN,,,192.168.0.56,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,2025-01-11 08:24:05,4
56,User,4,LOGOUT,,,10.1.1.57,"Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Safari/605.1.15",2025-01-11 11:11:05,4
57,User,4,LOGIN,,,172.17.0.58,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",2024-12-14 17:53:53,4
58,User,4,LOGOUT,,,192.0.2.59,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",2024-12-14 19:01:53,4
59,User,4,LOGIN,,,127.0.0.1,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",2025-03-01 11:38:15,4
60,User,4,LOGIN,,,192.168.1.70,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",2025-06-30 01:41:06,4
61,User,4,LOGOUT,,,10.0.0.62,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,2025-06-30 02:22:06,4
667,User,41,LOGIN,,,172.17.0.160,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,2024-06-15 03:32:45,41
62,User,4,LOGIN,,,172.16.0.63,"Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Safari/605.1.15",2025-01-31 04:33:24,4
63,User,4,LOGIN,,,203.0.113.64,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",2024-08-08 00:02:30,4
64,User,5,LOGIN,,,198.51.100.65,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",2025-10-30 19:35:51,5
65,User,5,LOGOUT,,,192.168.0.66,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",2025-10-30 22:11:51,5
66,User,5,LOGIN,,,10.1.1.67,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",2024-12-21 11:28:06,5
67,User,5,LOGOUT,,,172.17.0.68,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,2024-12-21 14:08:06,5
68,User,5,LOGIN,,,192.0.2.69,"Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Safari/605.1.15",2025-03-26 23:21:51,5
69,User,5,LOGIN,,,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",2024-06-24 10:33:23,5
70,User,5,LOGOUT,,,192.168.1.80,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",2024-06-24 11:19:23,5
71,User,5,LOGIN,,,10.0.0.72,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",2024-07-20 09:45:40,5
72,User,5,LOGIN,,,172.16.0.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",2025-01-02 01:43:01,5
73,User,5,LOGOUT,,,203.0.113.74,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,2025-01-02 02:29:01,5
74,User,5,LOGIN,,,198.51.100.75,"Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Safari/605.1.15",2024-08-26 01:37:29,5
75,User,5,LOGIN,,,192.168.0.76,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",2024-02-06 05:14:28,5
76,User,5,LOGOUT,,,10.1.1.77,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",2024-02-06 05:30:28,5
77,User,6,LOGIN,,,172.17.0.78,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",2025-06-06 18:48:42,6
78,User,6,LOGOUT,,,192.0.2.79,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",2025-06-06 20:29:42,6
79,User,6,LOGIN,,,127.0.0.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,2024-03-17 05:40:41,6
80,User,6,LOGOUT,,,192.168.1.90,"Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Safari/605.1.15",2024-03-17 07:20:41,6
81,User,6,LOGIN,,,10.0.0.82,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",2025-01-04 12:27:15,6
82,User,6,LOGIN,,,172.16.0.83,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",2025-07-08 12:04:15,6
83,User,6,LOGOUT,,,203.0.113.84,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",2025-07-08 13:18:15,6
84,User,6,LOGIN,,,198.51.100.85,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",2025-07-19 06:10:27,6
85,User,6,LOGIN,,,192.168.0.86,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,2024-01-26 16:10:40,6
86,User,6,LOGOUT,,,10.1.1.87,"Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Safari/605.1.15",2024-01-26 16:54:40,6
87,User,6,LOGIN,,,172.17.0.88,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",2024-06-07 20:13:30,6
88,User,7,LOGIN,,,192.0.2.89,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",2024-10-23 00:04:59,7
89,User,7,LOGOUT,,,127.0.0.1,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",2024-10-23 01:56:59,7
90,User,7,LOGIN,,,192.168.1.100,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",2024-07-26 13:42:57,7
91,User,7,LOGOUT,,,10.0.0.92,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,2024-07-26 16:35:57,7
92,User,7,LOGIN,,,172.16.0.93,"Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Safari/605.1.15",2024-06-22 16:53:27,7
93,User,7,LOGIN,,,203.0.113.94,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",2025-11-09 21:21:32,7
94,User,7,LOGIN,,,198.51.100.95,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",2024-06-04 01:39:15,7
95,User,7,LOGIN,,,192.168.0.96,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",2024-09-21 10:23:55,7
96,User,7,LOGOUT,,,10.1.1.97,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",2024-09-21 11:18:55,7
97,User,7,LOGIN,,,172.17.0.98,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,2024-04-10 15:32:28,7
98,User,7,LOGIN,,,192.0.2.99,"Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Safari/605.1.15",2024-05-02 11:26:00,7
99,User,7,LOGOUT,,,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",2024-05-02 14:06:00,7
100,User,7,LOGIN,,,192.168.1.110,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",2024-09-26 07:46:23,7
101,User,7,LOGOUT,,,10.0.0.102,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",2024-09-26 09:10:23,7
102,User,8,LOGIN,,,172.16.0.103,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",2025-03-19 16:25:01,8
103,User,8,LOGOUT,,,203.0.113.104,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,2025-03-19 18:36:01,8
104,User,8,LOGIN,,,198.51.100.105,"Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Safari/605.1.15",2024-08-13 21:24:06,8
105,User,8,LOGIN,,,192.168.0.106,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",2024-07-13 07:57:58,8
106,User,8,LOGIN,,,10.1.1.107,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",2025-08-19 20:11:39,8
107,User,8,LOGIN,,,172.17.0.108,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",2025-10-19 00:10:10,8
108,User,8,LOGIN,,,192.0.2.109,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",2024-01-15 02:08:13,8
109,User,8,LOGOUT,,,127.0.0.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,2024-01-15 03:34:13,8
110,User,8,LOGIN,,,192.168.1.120,"Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Safari/605.1.15",2024-01-14 17:31:55,8
111,User,8,LOGIN,,,10.0.0.112,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",2025-10-13 03:23:28,8
112,User,8,LOGOUT,,,172.16.0.113,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",2025-10-13 03:58:28,8
113,User,8,LOGIN,,,203.0.113.114,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",2025-03-30 02:32:51,8
114,User,8,LOGOUT,,,198.51.100.115,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",2025-03-30 04:37:51,8
115,User,8,LOGIN,,,192.168.0.116,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,2025-04-25 23:59:51,8
116,User,8,LOGOUT,,,10.1.1.117,"Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Safari/605.1.15",2025-04-26 01:45:51,8
117,User,8,LOGIN,,,172.17.0.118,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",2024-09-11 14:57:26,8
118,User,8,LOGOUT,,,192.0.2.119,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",2024-09-11 16:38:26,8
119,User,8,LOGIN,,,127.0.0.1,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",2024-08-18 14:12:22,8
120,User,8,LOGOUT,,,192.168.1.130,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",2024-08-18 14:52:22,8
121,User,8,LOGIN,,,10.0.0.122,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,2025-05-04 13:23:48,8
122,User,8,LOGIN,,,172.16.0.123,"Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Safari/605.1.15",2025-06-22 07:22:19,8
123,User,8,LOGOUT,,,203.0.113.124,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",2025-06-22 10:19:19,8
124,User,9,LOGIN,,,198.51.100.125,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",2025-05-21 23:37:15,9
125,User,9,LOGOUT,,,192.168.0.126,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",2025-05-22 01:36:15,9
126,User,9,LOGIN,,,10.1.1.127,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",2024-05-30 04:25:46,9
127,User,9,LOGIN,,,172.17.0.128,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,2024-04-21 06:51:17,9
128,User,9,LOGOUT,,,192.0.2.129,"Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Safari/605.1.15",2024-04-21 07:49:17,9
129,User,9,LOGIN,,,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",2025-04-02 15:19:16,9
130,User,9,LOGOUT,,,192.168.1.140,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",2025-04-02 17:16:16,9
131,User,9,LOGIN,,,10.0.0.132,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",2025-02-21 01:57:47,9
132,User,9,LOGOUT,,,172.16.0.133,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",2025-02-21 02:31:47,9
133,User,9,LOGIN,,,203.0.113.134,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,2025-03-29 00:25:24,9
134,User,9,LOGIN,,,198.51.100.135,"Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Safari/605.1.15",2025-11-08 19:51:06,9
135,User,9,LOGIN,,,192.168.0.136,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",2025-06-14 16:16:27,9
136,User,9,LOGIN,,,10.1.1.137,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",2024-02-12 03:06:46,9
137,User,9,LOGIN,,,172.17.0.138,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",2025-08-03 15:57:36,9
138,User,9,LOGOUT,,,192.0.2.139,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",2025-08-03 17:52:36,9
139,User,9,LOGIN,,,127.0.0.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,2024-12-17 15:02:48,9
140,User,9,LOGOUT,,,192.168.1.150,"Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Safari/605.1.15",2024-12-17 17:54:48,9
141,User,9,LOGIN,,,10.0.0.142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",2025-03-10 02:54:12,9
142,User,9,LOGIN,,,172.16.0.143,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",2025-05-08 20:49:54,9
143,User,9,LOGOUT,,,203.0.113.144,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",2025-05-08 23:18:54,9
144,User,10,LOGIN,,,198.51.100.145,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",2024-12-20 20:04:16,10
145,User,10,LOGOUT,,,192.168.0.146,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,2024-12-20 22:30:16,10
146,User,10,LOGIN,,,10.1.1.147,"Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Safari/605.1.15",2024-07-05 12:19:57,10
147,User,10,LOGOUT,,,172.17.0.148,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",2024-07-05 14:20:57,10
