VendorCode,BusinessName,PrimaryCategory,SubService,Location,Phone,Ratings,PriceRange,Availability
M108,Massage Services 108,Massage Therapy,Aromatherapy,Vikhroli West,9608211953,4.7,310-3654,Mon-Fri 10AM-5PM
M109,Baby Services 109,Baby Care,Infant Care,Malad West,9494134032,4.8,436-2621,Mon-Sun 10AM-9PM
M110,IT Services 110,IT & Tech Support,Hardware Repair,Mulund West,9957274063,4.6,887-3369,Mon-Sat 9AM-6PM
M111,Courier Services 111,Courier Services,Local Courier,Mulund West,9771151676,4.5,552-1381,Tue-Sun 10AM-8PM
M112,Elderly Services 112,Elderly Care,Physiotherapy,Andheri East,9438875071,4.2,818-3742,Mon-Sat 8AM-7PM
M113,Salon Services 113,Salon Services,Hair Color,Malad West,9384388900,3.6,657-2012,Mon-Sun 10AM-9PM
M114,Plumbing Services 114,Plumbing,Drain Cleaning,Kurla East,9580673750,4.2,338-2945,24/7
M115,Beauty Services 115,Beauty & Wellness,Pedicure,Bandra East,9741286468,5.0,333-1842,Mon-Fri 10AM-5PM
M116,Plumbing Services 116,Plumbing,Pipe Replacement,Vikhroli West,9327863665,4.0,558-1289,Mon-Sun 10AM-9PM
M117,Beauty Services 117,Beauty & Wellness,Pedicure,Andheri East,9790491057,3.9,960-3760,Mon-Fri 10AM-5PM
M118,Appliance Services 118,Appliance Repair,Washing Machine Repair,Kurla East,9135191259,5.0,674-2919,Mon-Sat 8AM-7PM
M119,Legal Services 119,Legal Services,Property Law,Malad West,9228821383,5.0,836-1595,Mon-Sun 10AM-9PM
M120,Beauty Services 120,Beauty & Wellness,Hair Spa,Bandra East,9855920125,4.0,447-2289,Mon-Sat 9AM-6PM
M121,Legal Services 121,Legal Services,Family Law,Dadar West,9742501443,4.0,631-3210,Mon-Sun 10AM-9PM
M122,Massage Services 122,Massage Therapy,Swedish Massage,Andheri East,9688200504,3.9,383-1826,Mon-Sat 8AM-7PM
M123,Massage Services 123,Massage Therapy,Swedish Massage,Dadar West,9783440773,4.5,831-2776,Mon-Fri 10AM-5PM
M124,Car Services 124,Car Repair & Service,Oil Change,Goregaon East,9357010190,3.7,742-2559,Mon-Fri 10AM-5PM
M125,Home Services 125,Home Cleaning,Upholstery Cleaning,Andheri East,9101121629,3.9,528-3944,Mon-Sun 10AM-9PM
M126,Massage Services 126,Massage Therapy,Aromatherapy,Mulund West,9135251049,3.9,762-2949,Mon-Sat 9AM-6PM
M127,Baby Services 127,Baby Care,Nanny Service,Andheri West,9327046946,4.1,765-2303,Mon-Sat 8AM-7PM
M128,Fitness Services 128,Fitness Training,Personal Training,Kurla East,9332125651,5.0,609-1803,Mon-Sat 8AM-7PM
M129,Courier Services 129,Courier Services,Domestic Courier,Kurla East,9225042271,4.9,633-4375,Tue-Sun 10AM-8PM
M130,Plumbing Services 130,Plumbing,Leak Repairs,Malad West,9780770438,4.1,497-3855,24/7
M131,Salon Services 131,Salon Services,Haircut,Kurla East,9239681848,4.9,814-3358,24/7
M132,Laundry Services 132,Laundry & Dry Cleaning,Ironing,Vikhroli West,9691233651,4.7,997-3939,Tue-Sun 10AM-8PM
M133,Beauty Services 133,Beauty & Wellness,Hair Spa,Dadar West,9847720210,3.9,398-4696,Mon-Sat 9AM-6PM
M134,Electrical Services 134,Electrical Services,Wiring,Vikhroli West,9509636700,3.8,707-3629,Mon-Sat 8AM-7PM
M135,Fitness Services 135,Fitness Training,Personal Training,Malad West,9821447284,3.8,349-4549,Mon-Sat 8AM-7PM
M136,Car Services 136,Car Repair & Service,Car Wash,Goregaon East,9123694401,4.3,910-2774,Daily 10AM-9PM
M137,Gardening Services 137,Gardening & Landscaping,Lawn Mowing,Andheri East,9638612684,3.9,980-2375,Tue-Sun 10AM-8PM
M138,Fitness Services 138,Fitness Training,Yoga,Vikhroli West,9809416418,4.7,300-3310,Mon-Sat 9AM-6PM
M139,Home Services 139,Home Tuition,Math,Andheri West,9796296739,4.4,720-4098,Mon-Fri 10AM-5PM
M140,Beauty Services 140,Beauty & Wellness,Hair Spa,Vikhroli West,9135430690,4.4,633-2571,Mon-Sat 8AM-7PM
M141,Plumbing Services 141,Plumbing,Leak Repairs,Andheri East,9599669063,4.4,594-3778,Daily 10AM-9PM
M142,Massage Services 142,Massage Therapy,Swedish Massage,Kurla East,9643926109,4.6,739-3789,Mon-Sat 8AM-7PM
M143,Baby Services 143,Baby Care,Day Care,Vikhroli West,9283297377,4.8,730-3319,Tue-Sun 10AM-8PM
M144,Home Services 144,Home Tuition,English,Malad West,9806644232,3.8,717-4151,Mon-Fri 10AM-5PM
M145,Laundry Services 145,Laundry & Dry Cleaning,Clothes Washing,Borivali West,9305110180,4.6,645-4198,Tue-Sun 10AM-8PM
M146,Painting Services 146,Painting & Waterproofing,Fence Painting,Mulund West,9240746627,4.6,435-1523,Tue-Sun 10AM-8PM
M147,Laundry Services 147,Laundry & Dry Cleaning,Dry Cleaning,Mulund West,9684097768,4.6,338-1605,24/7
M148,Baby Services 148,Baby Care,Infant Care,Borivali West,9602386498,4.1,474-1948,Mon-Sat 8AM-7PM
M149,Painting Services 149,Painting & Waterproofing,Fence Painting,Andheri West,9807990632,4.4,365-1738,Mon-Sat 8AM-7PM
M150,Beauty Services 150,Beauty & Wellness,Bridal Makeup,Goregaon East,9839469306,3.6,442-2535,Mon-Sat 9AM-6PM
